feature,slice,precision,recall,fbeta
,,0.7091454272863568,0.6126943005181347,0.6574009728978457
workclass, Private,0.6857142857142857,0.6075949367088608,0.6442953020134228
workclass, ?,0.6571428571428571,0.5609756097560976,0.6052631578947368
workclass, Self-emp-not-inc,0.6759259259259259,0.48026315789473684,0.5615384615384615
workclass, Local-gov,0.7641509433962265,0.6230769230769231,0.6864406779661016
workclass, State-gov,0.7678571428571429,0.6323529411764706,0.6935483870967742
workclass, Self-emp-inc,0.782258064516129,0.776,0.7791164658634538
workclass, Federal-gov,0.8153846153846154,0.6625,0.7310344827586207
workclass, Without-pay,1.0,1.0,1.0
workclass, Never-worked,1.0,1.0,1.0
education, Bachelors,0.7541371158392435,0.747072599531616,0.7505882352941177
education, HS-grad,0.6278026905829597,0.43343653250773995,0.5128205128205128
education, Some-college,0.6322314049586777,0.5331010452961672,0.5784499054820416
education, Doctorate,0.6938775510204082,0.7906976744186046,0.7391304347826086
education, Masters,0.8031088082901554,0.7711442786069652,0.7868020304568528
education, Assoc-voc,0.4666666666666667,0.3442622950819672,0.39622641509433965
education, Prof-school,0.8877551020408163,0.8446601941747572,0.8656716417910447
education, 9th,1.0,0.125,0.2222222222222222
education, 10th,0.8333333333333334,0.4166666666666667,0.5555555555555556
education, 12th,0.0,0.0,0.0
education, Assoc-acdm,0.5897435897435898,0.4791666666666667,0.5287356321839081
education, 11th,0.8,0.3076923076923077,0.4444444444444444
education, 7th-8th,0.6,0.3333333333333333,0.42857142857142855
education, 5th-6th,1.0,1.0,1.0
education, 1st-4th,1.0,0.0,0.0
education, Preschool,0.0,1.0,0.0
marital-status, Never-married,0.7796610169491526,0.42592592592592593,0.5508982035928144
marital-status, Married-civ-spouse,0.7040133779264214,0.6583268178264269,0.6804040404040405
marital-status, Divorced,0.7142857142857143,0.3813559322033898,0.4972375690607735
marital-status, Widowed,0.8333333333333334,0.2631578947368421,0.4
marital-status, Separated,1.0,0.3333333333333333,0.5
marital-status, Married-spouse-absent,0.8,0.8,0.8
marital-status, Married-AF-spouse,0.0,0.0,0.0
occupation, Sales,0.6666666666666666,0.5858585858585859,0.6236559139784946
occupation, Craft-repair,0.6212121212121212,0.4293193717277487,0.5077399380804953
occupation, Machine-op-inspct,0.46153846153846156,0.3076923076923077,0.36923076923076925
occupation, Adm-clerical,0.7037037037037037,0.5480769230769231,0.6162162162162163
occupation, Prof-specialty,0.8005464480874317,0.73989898989899,0.7690288713910761
occupation, ?,0.6571428571428571,0.5609756097560976,0.6052631578947368
occupation, Other-service,0.3333333333333333,0.18181818181818182,0.23529411764705882
occupation, Handlers-cleaners,0.5333333333333333,0.36363636363636365,0.43243243243243246
occupation, Protective-serv,0.6666666666666666,0.5,0.5714285714285714
occupation, Exec-managerial,0.7534246575342466,0.7554945054945055,0.7544581618655692
occupation, Transport-moving,0.5142857142857142,0.3333333333333333,0.4044943820224719
occupation, Tech-support,0.6,0.6346153846153846,0.616822429906542
occupation, Farming-fishing,0.6363636363636364,0.28,0.3888888888888889
occupation, Priv-house-serv,1.0,1.0,1.0
occupation, Armed-Forces,1.0,1.0,1.0
relationship, Not-in-family,0.7636363636363637,0.4263959390862944,0.5472312703583062
relationship, Husband,0.699047619047619,0.650132860938884,0.6737035337310693
relationship, Other-relative,0.75,0.6,0.6666666666666666
relationship, Unmarried,0.7083333333333334,0.3541666666666667,0.4722222222222222
relationship, Own-child,1.0,0.17647058823529413,0.3
relationship, Wife,0.7342657342657343,0.7094594594594594,0.7216494845360825
race, White,0.7047146401985112,0.6138328530259366,0.6561417019638044
